film,decennie,nb_plans,duree_moy_plan_ms,duree_film_ms,duree_moy_plan_s,duree_film_min
1900-1 --- A Corner in Wheat (D,1900,24,32936.583333333336,790478.0,32.93658333333334,13.174633333333333
1900-2 -- La vie du Christ,1900,55,33243.70909090909,1828404.0,33.24370909090909,30.4734
1900-3 --- Le Vol du Grand Rapide,1900,16,39407.25,630516.0,39.40725,10.5086
1900-4 --- Os Crimes de Diogo Alves,1900,46,30132.934782608696,1386115.0,30.132934782608697,23.101916666666668
1900-6 --- Moscou sous la neige,1900,12,35032.416666666664,420389.0,35.03241666666666,7.006483333333334
1900-8 --- Stenka Razin,1900,11,36191.72727272727,398109.0,36.19172727272727,6.63515
1910-1 --- Fatty cuisinier,1910,223,5170.076233183857,1152927.0,5.170076233183857,19.21545
1910-2 --- Les vacances de Max,1910,22,43817.63636363636,963988.0,43.81763636363636,16.066466666666667
1910-3 --- Du sang dans la prairie,1910,455,5583.006593406593,2540268.0,5.583006593406593,42.3378
1910-4 --- El ultimo malon,1910,411,7155.644768856448,2940970.0,7.1556447688564475,49.01616666666666
1910-6 --- L'Anniversaire de la Révolution,1910,558,11785.881720430107,6576522.0,11.785881720430107,109.6087
1910-8 --- Terje Vigen,1910,223,12534.488789237668,2795191.0,12.534488789237669,46.58651666666667
1920-1 --- Le mécano de la Général,1920,554,7853.485559566787,4350831.0,7.853485559566787,72.51385
1920-2 --- Finis terrae,1920,709,6420.354019746122,4552031.0,6.420354019746122,75.86718333333333
1920-3 --- L'Homme qui rit,1920,1151,5106.447437011295,5877521.0,5.106447437011295,97.95868333333334
1920-4 --- Le train fatnome,1920,619,6433.352180936995,3982245.0,6.433352180936995,66.37075
1920-5 --- Shiraz,1920,800,6974.75,5579800.0,6.97475,92.99666666666667
1920-6 --- Nanouk l'esquimau,1920,317,12358.602523659307,3917677.0,12.358602523659307,65.29461666666667
1920-7 --- Barsoum cherche un emploi,1920,56,15749.375,881965.0,15.749375,14.699416666666666
1920-8 --- La Jeune Fille au Carton à Chapeau,1920,893,4066.771556550952,3631627.0,4.066771556550952,60.527116666666664
1930-1 --- Les lumières de la ville,1930,486,10090.448559670782,4903958.0,10.090448559670781,81.73263333333334
1930-3 --- Le Magicien d'Oz,1930,654,9290.262996941896,6075832.0,9.290262996941896,101.26386666666667
1930-4 --- El fantasma del convento,1930,399,12816.320802005013,5113712.0,12.816320802005013,85.22853333333333
1930-5 --- Gosses de Tokyo,1930,1208,4057.898178807947,4901941.0,4.057898178807947,81.69901666666667
1930-6 --- Misere au Borinage,1930,284,5983.598591549296,1699342.0,5.9835985915492955,28.322366666666667
1930-7 --- Weddad,1930,381,16221.774278215224,6180496.0,16.221774278215225,103.00826666666667
1930-8 --- M le maudit,1930,470,13964.195744680852,6563172.0,13.964195744680852,109.3862
1940-1 --- La Dame du Vendredi,1940,354,15522.694915254237,5495034.0,15.522694915254236,91.5839
1940-2 --- La belle et la bête,1940,358,15852.474860335196,5675186.0,15.852474860335196,94.58643333333333
1940-3 --- La Féline,1940,489,8911.456032719836,4357702.0,8.911456032719837,72.62836666666666
1940-4 --- Enamorada,1940,509,11465.520628683693,5835950.0,11.465520628683693,97.26583333333333
1940-5 --- Arshin Takes a Wife,1940,475,10524.052631578947,4998925.0,10.524052631578947,83.31541666666666
1940-6 --- The Memphis Belle,1940,472,5043.762711864407,2380656.0,5.043762711864407,39.6776
1940-7 --- Dananir,1940,319,16993.470219435738,5420917.0,16.99347021943574,90.34861666666667
1950-1 --- Chantons sous la pluie,1950,319,19309.82445141066,6159834.0,19.30982445141066,102.6639
1950-2 --- La Traversée de Paris,1950,708,7052.71186440678,4993320.0,7.052711864406779,83.222
1950-3 --- Johnny Guitar,1950,1078,6107.2968460111315,6583666.0,6.107296846011131,109.72776666666667
1950-4 --- Orfeo Negro,1950,481,13304.619542619543,6399522.0,13.304619542619543,106.6587
1950-5 --- Les Amants Crucifiés,1950,168,36613.232142857145,6151023.0,36.61323214285714,102.51705
1950-6 --- Le Monde du Silence,1950,912,5551.633771929824,5063090.0,5.551633771929825,84.38483333333333
