video/plan,Chen,Faster,Middle,Pei,Yolom,Zhang,source
1900-1-1 plan_n°17.mp4,0,0,0,0,0,0,BS
1900-1-2 plan_n°28.mp4,0,0,0,0,0,0,BS
1900-2-1 plan_n°29.mp4,1,0,0,0,0,0,BS
1900-2-2 plan_n°77.mp4,0,0,1,0,0,0,BS
1900-3-1 plan_n°11.mp4,0,0,0,0,0,0,BS
1900-3-2 plan_n°15.mp4,0,0,0,0,0,0,BS
1900-4-1 plan_n°20.mp4,0,0,0,0,0,0,BS
1900-4-2 plan_n°39.mp4,0,0,0,0,0,0,BS
1900-6-1 plan_n°3.mp4,0,0,0,0,0,0,BS
1900-6-2 plan_n°8.mp4,0,0,0,0,0,0,BS
1900-8-1 plan_n°9.mp4,0,0,0,0,0,0,BS
1900-8-2 plan_n°19.mp4,0,0,0,0,0,0,BS
1910-1-1 plan_n°164.mp4,0,0,0,0,0,0,BS
1910-1-2 plan_n°173.mp4,0,0,0,0,0,0,BS
1910-2-1 plan_n°9.mp4,0,0,0,0,0,0,BS
1910-2-2 plan_n°16.mp4,0,0,0,0,0,0,BS
1910-3-1 plan_n°288.mkv,0,0,0,0,0,0,BS
1910-3-2 plan_n°446.mkv,0,0,0,0,0,0,BS
1910-4-1 plan_n°280.mp4,0,0,0,0,0,0,BS
1910-4-2 plan_n°475.mp4,0,0,0,0,0,0,BS
1910-6-1 plan_n°114.mp4,0,0,0,0,0,0,BS
1910-6-2 plan_n°466.mp4,0,0,0,0,0,0,BS
1910-8-1 plan_n°47.mp4,0,0,0,0,0,0,BS
1910-8-2 plan_n°139.mp4,0,0,0,0,0,0,BS
1920-1-1 plan_n°107.mp4,1,1,1,0,1,0,BS
1920-1-2 plan_n°563.mp4,0,0,0,0,0,0,BS
1920-2-1 plan_n°23.mp4,0,0,0,0,0,0,BS
1920-2-2 plan_n°414.mp4,0,0,0,0,0,0,BS
1920-3-1 plan_n°381.mp4,0,0,0,0,0,0,BS
1920-3-2 plan_n°780.mp4,0,0,0,0,0,0,BS
1920-4-1 plan_n°178.mp4,0,0,0,0,0,0,BS
1920-4-2 plan_n°577.mp4,0,0,0,0,0,0,BS
1920-5-1 plan_n°420.mp4,0,0,0,0,0,0,BS
1920-5-2 plan_n°626.mp4,0,0,0,0,0,0,BS
1920-6-1 plan_n°218.mp4,1,0,0,1,0,1,BS
1920-6-2 plan_n°240.mp4,0,0,0,0,0,0,BS
1920-7-1 plan_n°18.mp4,0,0,0,0,0,0,BS
1920-7-2 plan_n°34.mp4,0,0,0,0,0,0,BS
