video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	16.09	0.505
03S_Johnny Guitar.mp4	24.88	12.01	0.483
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	34.25	0.758
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	8.50	0.790
12S1_Zig-Zag_Plan 2.mp4	27.44	12.92	0.471
17_H'sG (pie)_Plan 3.mp4	11.04	5.05	0.457
17_H'sG (pie)_Plan 5.mp4	27.64	13.06	0.472
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	25.90	0.503
231_LaCiotat.mp4	43.17	28.32	0.656
381_Proces-Huissier_Plan 8.mp4	42.80	21.31	0.498
382_Proces_greffier-piranese_Plan 1.mp4	11.32	5.66	0.500
4_31-36_Tribunal_Plan 12.mp4	15.24	7.04	0.462
4_31-36_Tribunal_Plan 16.mp4	18.12	8.08	0.446
4_31-36_Tribunal_Plan 30.mp4	25.44	11.64	0.457
4eme1.mp4	30.28	13.32	0.440
4eme2.mp4	13.00	5.77	0.444
4eme3.mp4	12.72	5.68	0.446
BARRY_LYNDON_Plan 242.mp4	30.16	16.34	0.542
BARRY_LYNDON_Plan 278.mp4	36.00	20.42	0.567
BARRY_LYNDON_Plan 39.mp4	86.52	48.92	0.565
BARRY_LYNDON_Plan 4.mp4	30.88	17.78	0.576
BARRY_LYNDON_Plan 456.mp4	51.44	29.42	0.572
BARRY_LYNDON_Plan 90.mp4	44.48	24.67	0.555
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	17.67	0.445
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	49.42	0.434
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	11.15	0.438
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	7.82	0.465
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	35.53	0.472
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	13.67	0.595
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	12.89	0.622
Better.Call.Saul.S03E03_Plan 70.mp4	18.94	11.60	0.613
Better.Call.Saul.S03E04_Plan 322.mp4	30.03	18.82	0.627
Better.Call.Saul.S03E4_Plan 225.mp4	18.94	11.39	0.602
Better.Call.Saul.S03E4_Plan 318.mp4	27.69	16.47	0.595
EvenCowgirlGetTheBlues_Plan 718.mp4	20.04	9.32	0.465
EvenCowgirlGetTheBlues_Plan 723.mp4	28.08	12.95	0.461
EvenCowgirlGetTheBlues_Plan 728.mp4	20.72	9.45	0.456
EvenCowgirlGetTheBlues_Plan 915.mp4	71.56	33.58	0.469
EvenCowgirlGetTheBlues_Plan 917.mp4	63.16	29.88	0.473
