video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	62.71	1.970
03S_Johnny Guitar.mp4	24.88	49.29	1.981
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	86.72	1.920
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	20.55	1.912
12S1_Zig-Zag_Plan 2.mp4	27.44	54.20	1.975
17_H'sG (pie)_Plan 3.mp4	11.04	24.26	2.197
17_H'sG (pie)_Plan 5.mp4	27.64	60.72	2.197
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	118.63	2.303
231_LaCiotat.mp4	43.17	87.86	2.035
381_Proces-Huissier_Plan 8.mp4	42.80	96.78	2.261
382_Proces_greffier-piranese_Plan 1.mp4	11.32	25.61	2.262
4_31-36_Tribunal_Plan 12.mp4	15.24	33.54	2.201
4_31-36_Tribunal_Plan 16.mp4	18.12	39.87	2.200
4_31-36_Tribunal_Plan 30.mp4	25.44	55.93	2.199
4eme1.mp4	30.28	66.17	2.185
4eme2.mp4	13.00	28.32	2.178
4eme3.mp4	12.72	27.76	2.182
BARRY_LYNDON_Plan 242.mp4	30.16	63.77	2.114
BARRY_LYNDON_Plan 278.mp4	36.00	76.26	2.118
BARRY_LYNDON_Plan 39.mp4	86.52	182.16	2.105
BARRY_LYNDON_Plan 4.mp4	30.88	65.05	2.106
BARRY_LYNDON_Plan 456.mp4	51.44	108.91	2.117
BARRY_LYNDON_Plan 90.mp4	44.48	93.87	2.110
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	83.62	2.108
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	240.29	2.110
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	53.76	2.109
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	37.11	2.209
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	165.69	2.201
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	56.25	2.447
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	51.24	2.472
Better.Call.Saul.S03E03_Plan 70.mp4	18.94	46.44	2.452
Better.Call.Saul.S03E04_Plan 322.mp4	30.03	73.63	2.452
Better.Call.Saul.S03E4_Plan 225.mp4	18.94	46.50	2.456
Better.Call.Saul.S03E4_Plan 318.mp4	27.69	67.83	2.449
EvenCowgirlGetTheBlues_Plan 718.mp4	20.04	43.93	2.192
EvenCowgirlGetTheBlues_Plan 723.mp4	28.08	61.45	2.188
EvenCowgirlGetTheBlues_Plan 728.mp4	20.72	45.26	2.184
EvenCowgirlGetTheBlues_Plan 915.mp4	71.56	156.55	2.188
EvenCowgirlGetTheBlues_Plan 917.mp4	63.16	138.23	2.188
Falstaff.mp4	44.12	99.29	2.250
JohnWick2_Plan 1173.mp4	15.56	33.09	2.127
JohnWick2_Plan 629.mp4	15.18	32.23	2.123
JohnWick2_Plan 867.mp4	18.23	38.58	2.117
La.Haine_Plan 115.mp4	33.03	81.13	2.456
La.Haine_Plan 428.mp4	33.32	82.14	2.465
La.Haine_Plan 470.mp4	17.89	44.16	2.468
La.Haine_Plan 533.mp4	31.66	77.74	2.456
La_ligne_Verte_Plan 1113.mp4	21.40	45.27	2.116
La_ligne_Verte_Plan 1288.mp4	35.79	75.57	2.112
LeCorniaud_Plan 12.mp4	39.20	68.59	1.750
LeCorniaud_Plan 497.mp4	43.80	76.03	1.736
LeCorniaud_Plan 547.mp4	76.24	132.85	1.742
LeCorniaud_Plan 675.mp4	37.12	64.93	1.749
Leon_Plan 1129.mp4	22.81	42.78	1.875
Leon_Plan 737.mp4	20.19	37.69	1.867
