video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	21.91	0.688
03S_Johnny Guitar.mp4	24.88	16.75	0.673
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	28.08	0.622
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	6.76	0.629
12S1_Zig-Zag_Plan 2.mp4	27.44	18.49	0.674
17_H'sG (pie)_Plan 3.mp4	11.04	6.09	0.551
17_H'sG (pie)_Plan 5.mp4	27.64	15.21	0.550
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	31.20	0.606
231_LaCiotat.mp4	43.17	27.10	0.628
381_Proces-Huissier_Plan 8.mp4	42.80	23.60	0.551
382_Proces_greffier-piranese_Plan 1.mp4	11.32	6.25	0.552
4_31-36_Tribunal_Plan 12.mp4	15.24	8.46	0.555
4_31-36_Tribunal_Plan 16.mp4	18.12	10.05	0.554
4_31-36_Tribunal_Plan 30.mp4	25.44	14.10	0.554
4eme1.mp4	30.28	17.29	0.571
4eme2.mp4	13.00	7.45	0.573
4eme3.mp4	12.72	7.27	0.571
BARRY_LYNDON_Plan 242.mp4	30.16	16.86	0.559
BARRY_LYNDON_Plan 278.mp4	36.00	20.06	0.557
BARRY_LYNDON_Plan 39.mp4	86.52	48.14	0.556
BARRY_LYNDON_Plan 4.mp4	30.88	17.30	0.560
BARRY_LYNDON_Plan 456.mp4	51.44	28.73	0.559
BARRY_LYNDON_Plan 90.mp4	44.48	24.81	0.558
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	21.12	0.533
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	60.50	0.531
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	13.58	0.533
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	9.33	0.556
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	41.59	0.552
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	16.01	0.697
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	14.33	0.691
Better.Call.Saul.S03E03_Plan 70.mp4	18.94	13.19	0.696
Better.Call.Saul.S03E04_Plan 322.mp4	30.03	20.78	0.692
Better.Call.Saul.S03E4_Plan 225.mp4	18.94	13.10	0.692
Better.Call.Saul.S03E4_Plan 318.mp4	27.69	19.22	0.694
