video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	62.77	1.971
03S_Johnny Guitar.mp4	24.88	49.37	1.984
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	86.69	1.919
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	20.68	1.924
12S1_Zig-Zag_Plan 2.mp4	27.44	54.35	1.981
17_H'sG (pie)_Plan 3.mp4	11.04	24.57	2.226
17_H'sG (pie)_Plan 5.mp4	27.64	61.56	2.227
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	120.61	2.341
231_LaCiotat.mp4	43.17	88.64	2.053
381_Proces-Huissier_Plan 8.mp4	42.80	98.09	2.292
382_Proces_greffier-piranese_Plan 1.mp4	11.32	26.01	2.297
4_31-36_Tribunal_Plan 12.mp4	15.24	34.13	2.240
4_31-36_Tribunal_Plan 16.mp4	18.12	40.57	2.239
4_31-36_Tribunal_Plan 30.mp4	25.44	56.62	2.225
4eme1.mp4	30.28	67.13	2.217
4eme2.mp4	13.00	28.61	2.201
4eme3.mp4	12.72	28.09	2.208
BARRY_LYNDON_Plan 242.mp4	30.16	64.72	2.146
BARRY_LYNDON_Plan 278.mp4	36.00	77.16	2.143
BARRY_LYNDON_Plan 39.mp4	86.52	184.63	2.134
BARRY_LYNDON_Plan 4.mp4	30.88	66.06	2.139
BARRY_LYNDON_Plan 456.mp4	51.44	110.26	2.143
BARRY_LYNDON_Plan 90.mp4	44.48	94.99	2.135
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	85.39	2.153
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	244.96	2.151
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	54.81	2.151
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	37.60	2.238
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	168.41	2.237
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	57.31	2.494
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	52.21	2.519
Better.Call.Saul.S03E03_Plan 70.mp4	18.94	47.43	2.505
Better.Call.Saul.S03E04_Plan 322.mp4	30.03	75.13	2.502
Better.Call.Saul.S03E4_Plan 225.mp4	18.94	47.43	2.505
Better.Call.Saul.S03E4_Plan 318.mp4	27.69	69.50	2.509
EvenCowgirlGetTheBlues_Plan 718.mp4	20.04	44.39	2.215
EvenCowgirlGetTheBlues_Plan 723.mp4	28.08	62.01	2.208
EvenCowgirlGetTheBlues_Plan 728.mp4	20.72	45.85	2.213
EvenCowgirlGetTheBlues_Plan 915.mp4	71.56	158.40	2.214
EvenCowgirlGetTheBlues_Plan 917.mp4	63.16	139.70	2.212
Falstaff.mp4	44.12	100.67	2.282
JohnWick2_Plan 1173.mp4	15.56	33.59	2.159
JohnWick2_Plan 629.mp4	15.18	32.63	2.149
JohnWick2_Plan 867.mp4	18.23	39.03	2.141
La.Haine_Plan 115.mp4	33.03	82.52	2.498
La.Haine_Plan 428.mp4	33.32	83.56	2.507
La.Haine_Plan 470.mp4	17.89	44.89	2.509
La.Haine_Plan 533.mp4	31.66	79.30	2.505
La_ligne_Verte_Plan 1113.mp4	21.40	45.99	2.149
La_ligne_Verte_Plan 1288.mp4	35.79	76.82	2.147
LeCorniaud_Plan 12.mp4	39.20	68.14	1.738
LeCorniaud_Plan 497.mp4	43.80	75.80	1.731
LeCorniaud_Plan 547.mp4	76.24	132.17	1.734
LeCorniaud_Plan 675.mp4	37.12	64.62	1.741
Leon_Plan 1129.mp4	22.81	43.19	1.893
Leon_Plan 737.mp4	20.19	37.89	1.877
Leon_Plan 786.mp4	18.73	35.45	1.893
Leon_Plan 947.mp4	11.80	22.31	1.890
MAN_OF_THE_WEST_SCN_Plan 279.mp4	20.56	37.12	1.805
MAN_OF_THE_WEST_SCN_Plan 316.mp4	25.04	45.13	1.802
MK_s.1+2_Pont_Plan 24.mp4	15.96	27.19	1.704
MOF.mp4	17.20	33.40	1.942
ManOfTheWest.mp4	26.36	47.57	1.805
ManOfTheWest_Plan305.mp4	25.72	46.67	1.815
Ragtime_STF_Plan 5.mp4	17.08	37.88	2.218
SHINING_Plan 289.mp4	58.60	147.11	2.510
SHINING_Plan_233.mp4	42.46	106.45	2.507
Sc.Coupee_Plan 21.mp4	45.36	101.39	2.235
Shining.mp4	39.29	98.84	2.516
THE STRAIGHT STORY_Plan 231.mp4	43.33	109.10	2.518
THE STRAIGHT STORY_Plan 403.mp4	24.21	60.85	2.513
THE STRAIGHT STORY_Plan 413.mp4	24.58	61.79	2.514
THE STRAIGHT STORY_Plan 461.mp4	23.88	59.91	2.509
THE STRAIGHT STORY_Plan 514.mp4	42.38	106.43	2.512
THE STRAIGHT STORY_Plan 665.mp4	35.08	88.09	2.511
THE_KILLING_Plan 427.mp4	38.64	70.82	1.833
TripToTheMoon1.mp4	21.71	90.68	4.177
VV_adele_Plan 1405.mp4	32.32	56.07	1.735
Vivant parmi les vivants (2023) Sylvère Petit_Plan 132.mp4	4.24	11.32	2.670
Vivant parmi les vivants (2023) Sylvère Petit_Plan 31.mp4	25.36	66.35	2.616
Vivant parmi les vivants (2023) Sylvère Petit_Plan 338.mp4	23.20	60.81	2.621
Vivant parmi les vivants (2023) Sylvère Petit_Plan 343.mp4	15.00	39.13	2.609
