video	video_duration(s)	execution_time(s)	ratio
02S_Arizona-Jim_Plan 1.mp4	31.84	10.95	0.344
03S_Johnny Guitar.mp4	24.88	8.00	0.322
1242_La Chienne_fin_4'_Plan 4.mp4	45.17	22.35	0.495
1242_La Chienne_fin_4'_Plan 5.mp4	10.75	5.32	0.495
12S1_Zig-Zag_Plan 2.mp4	27.44	8.75	0.319
17_H'sG (pie)_Plan 3.mp4	11.04	3.16	0.286
17_H'sG (pie)_Plan 5.mp4	27.64	7.92	0.286
205_Foottit et Chocolat (Lumière n° 1140-1141)_Plan 2.mp4	51.52	16.98	0.330
231_LaCiotat.mp4	43.17	18.76	0.435
381_Proces-Huissier_Plan 8.mp4	42.80	13.58	0.317
382_Proces_greffier-piranese_Plan 1.mp4	11.32	3.62	0.320
4_31-36_Tribunal_Plan 12.mp4	15.24	4.42	0.290
4_31-36_Tribunal_Plan 16.mp4	18.12	5.24	0.289
4_31-36_Tribunal_Plan 30.mp4	25.44	7.25	0.285
4eme1.mp4	30.28	8.80	0.291
4eme2.mp4	13.00	3.78	0.291
4eme3.mp4	12.72	3.71	0.292
BARRY_LYNDON_Plan 242.mp4	30.16	10.47	0.347
BARRY_LYNDON_Plan 278.mp4	36.00	12.43	0.345
BARRY_LYNDON_Plan 39.mp4	86.52	29.87	0.345
BARRY_LYNDON_Plan 4.mp4	30.88	10.68	0.346
BARRY_LYNDON_Plan 456.mp4	51.44	17.82	0.346
BARRY_LYNDON_Plan 90.mp4	44.48	15.38	0.346
Better.Call.Saul.S01E08_Plan 387.mp4	39.66	10.92	0.275
Better.Call.Saul.S01E08_Plan 42.mp4	113.86	31.27	0.275
Better.Call.Saul.S01E08_Plan 454.mp4	25.48	7.01	0.275
Better.Call.Saul.S03E01_Plan 131.mp4	16.80	4.81	0.286
Better.Call.Saul.S03E01_Plan 97.mp4	75.28	21.52	0.286
Better.Call.Saul.S03E03_Plan 268.mp4	22.98	9.48	0.413
Better.Call.Saul.S03E03_Plan 376.mp4	20.73	8.54	0.412
Better.Call.Saul.S03E03_Plan 70.mp4	18.94	7.82	0.413
Better.Call.Saul.S03E04_Plan 322.mp4	30.03	12.25	0.408
Better.Call.Saul.S03E4_Plan 225.mp4	18.94	7.65	0.404
